test,measure,comparison,comparison_name,spec,estimate,stat,df,p,n_group_a,n_group_b,age_beta,age_p,surg_beta,surg_p,converged,age_cap,roi_set
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],sign  LI toward lost side z>2.33,0.3607924992628151,,,0.2019596080783843,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],"sign  LI toward lost side, thr-free",0.2723879084162888,,,0.2253549290141971,36,12,,,,,,23.0,primary_strict
lmm,distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],omnibus  category x group,,4.713732426492549,3,0.1939999306275988,36,12,-0.0050216991012158,0.5033309269115043,,,True,23.0,
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],binA  word+face | house+object,0.1180101091675585,,,0.2901419716056788,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],binB  word | face+house+object,0.0435416049085993,,,0.728254349130174,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],binC  word+face+house | object,0.0934663441883408,,,0.4781043791241751,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>1.96,0.4495862669716597,,,0.4277144571085783,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>2.33,0.3992840423042622,,,0.4497100579884023,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],rank  word>face>object=house,0.0465936372072862,,,0.3839232153569286,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],sign  LI toward lost side z>2.33,-0.0375094252493695,,,0.8714257148570286,36,12,,,,,,23.0,primary_strict
perm_ols,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-0.0373923248937534,,,0.8386322735452909,36,12,,,,,,23.0,primary_strict
lmm,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],omnibus  category x group,,1.3581038169752593,3,0.7153841309071594,36,12,0.0070616803474669,0.3413496060967567,,,True,23.0,
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],binA  word+face | house+object,0.2156351401694642,,,0.0003999200159968,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],binB  word | face+house+object,0.2831490229904567,,,0.0011997600479904,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],binC  word+face+house | object,0.1389733455740674,,,0.002999400119976,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>1.96,0.5615182513248749,,,0.0027994401119776,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>2.33,0.5139177352489387,,,0.0031993601279744,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],rank  word>face>object=house,0.0451176304779975,,,0.0037992401519696,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],sign  LI toward lost side z>2.33,-0.3027509835117661,,,0.0873825234953009,36,36,,,,,,23.0,primary_strict
perm_ols,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],"sign  LI toward lost side, thr-free",-0.213274075356447,,,0.1275744851029794,36,36,,,,,,23.0,primary_strict
lmm,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],omnibus  category x group,,16.675828324873514,3,0.0008239456942487,36,36,0.0027731171730507,0.6922846391613704,,,False,23.0,
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,binA  word+face | house+object,0.0607631327376149,,,0.6072785442911418,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,binB  word | face+house+object,-0.1109825895407121,,,0.3303339332133573,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,binC  word+face+house | object,-0.0694089750289377,,,0.4831033793241351,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>1.96,-0.0758663844821347,,,0.886622675464907,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,cont  |LI| z>2.33,-0.0929621869275825,,,0.8542291541691661,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,rank  word>face>object=house,0.001757279322419,,,0.9706058788242352,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,sign  LI toward lost side z>2.33,0.2115782869374606,,,0.3485302939412117,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,1,A = LH ctrl        B = LH-intact pt,"sign  LI toward lost side, thr-free",0.1660490653224001,,,0.3543291341731653,36,12,,,,,,23.0,primary_strict
lmm,geometry,1,A = LH ctrl        B = LH-intact pt,omnibus  category x group,,7.362634841360268,5,0.1950371438850126,36,12,0.0030912108199558,0.6435936342478372,,,True,23.0,
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,binA  word+face | house+object,-0.1761749426005946,,,0.0753849230153969,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,binB  word | face+house+object,-0.539101890049247,,,0.0005998800239952,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,binC  word+face+house | object,-0.0829610644709155,,,0.2245550889822035,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>1.96,-1.7546790736712516,,,0.0027994401119776,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,cont  |LI| z>2.33,-1.7030255859801118,,,0.0025994801039792,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,rank  word>face>object=house,-0.1485752958750739,,,0.0063987202559488,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,sign  LI toward lost side z>2.33,-1.0272602644405215,,,0.0005998800239952,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,2,A = RH ctrl        B = RH-intact pt,"sign  LI toward lost side, thr-free",-0.804385626277833,,,0.0005998800239952,36,12,,,,,,23.0,primary_strict
lmm,geometry,2,A = RH ctrl        B = RH-intact pt,omnibus  category x group,,24.36177397880496,5,0.0001849711803414,36,12,-0.0076340258998843,0.3025633608799782,,,True,23.0,
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,binA  word+face | house+object,-0.0046448892151957,,,0.9684063187362528,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,binB  word | face+house+object,0.0482954168750265,,,0.7588482303539292,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,binC  word+face+house | object,0.1485145292695628,,,0.2785442911417716,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>1.96,0.099536187250522,,,0.8678264347130574,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,cont  |LI| z>2.33,0.0857367389268396,,,0.8808238352329534,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,rank  word>face>object=house,0.0065009397407729,,,0.912017596480704,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,sign  LI toward lost side z>2.33,-0.0176371955406431,,,0.959008198360328,12,12,,,,,,23.0,primary_strict
perm_ols,geometry,3,A = LH-intact pt   B = RH-intact pt,"sign  LI toward lost side, thr-free",-0.0206753205223875,,,0.9358128374325136,12,12,,,,,,23.0,primary_strict
lmm,geometry,3,A = LH-intact pt   B = RH-intact pt,omnibus  category x group,,2.059742057443396,5,0.8408183740734901,12,12,-0.0104962772602798,0.3853480121391289,-0.06897412919953,0.3890608960244642,True,23.0,
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],binA  word+face | house+object,-0.1715300533853982,,,0.0809838032393521,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],binB  word | face+house+object,-0.587397306924272,,,0.0001999600079984,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],binC  word+face+house | object,-0.2314755937404784,,,0.0127974405118976,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],cont  |LI| z>1.96,-1.8542152609217877,,,0.0017996400719856,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],cont  |LI| z>2.33,-1.788762324906909,,,0.0017996400719856,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],rank  word>face>object=house,-0.1550762356158451,,,0.0033993201359728,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],sign  LI toward lost side z>2.33,1.009623068899879,,,0.0007998400319936,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],"sign  LI toward lost side, thr-free",0.7837103057554333,,,0.0007998400319936,36,12,,,,,,23.0,primary_strict
lmm,geometry,4,A = RH ctrl        B = LH-intact pt  [crossed],omnibus  category x group,,27.740540883020397,5,4.090545310752532e-05,36,12,-0.0065407685563727,0.3765738732650788,,,True,23.0,
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],binA  word+face | house+object,0.0561182435224166,,,0.6442711457708459,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],binB  word | face+house+object,-0.0626871726656858,,,0.6060787842431514,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],binC  word+face+house | object,0.0791055542406237,,,0.3085382923415317,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>1.96,0.0236698027683986,,,0.9694061187762448,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>2.33,-0.0072254480007889,,,0.9912017596480704,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],rank  word>face>object=house,0.0082582190631903,,,0.8838232353529294,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],sign  LI toward lost side z>2.33,-0.2292154824781054,,,0.2841431713657268,36,12,,,,,,23.0,primary_strict
perm_ols,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-0.1867243858447974,,,0.264747050589882,36,12,,,,,,23.0,primary_strict
lmm,geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],omnibus  category x group,,5.161457785768223,5,0.3964953150175269,36,12,0.002174712075891,0.745808856896898,,,True,23.0,
perm_ols,geometry,6,A = LH ctrl        B = RH ctrl       [paired],binA  word+face | house+object,0.1345190239271254,,,0.0211957608478304,36,36,,,,,,23.0,primary_strict
perm_ols,geometry,6,A = LH ctrl        B = RH ctrl       [paired],binB  word | face+house+object,0.3401349952202795,,,0.0005998800239952,36,36,,,,,,23.0,primary_strict
perm_ols,geometry,6,A = LH ctrl        B = RH ctrl       [paired],binC  word+face+house | object,0.0773632437882538,,,0.0841831633673265,36,36,,,,,,23.0,primary_strict
