subject_id,session,hemi,roi,contrast_cat,volume,n_searchmask
sub-007,03,r,word_pSTG_liu,face,1427.0,7624
sub-007,03,r,word_pSTG_liu,house,10.0,7624
sub-007,03,r,word_pSTG_liu,object,20.0,7624
sub-007,03,r,word_pSTG_liu,word,1.0,7624
sub-007,03,r,word_IFG,face,644.0,8640
sub-007,03,r,word_IFG,house,0.0,8640
sub-007,03,r,word_IFG,object,31.0,8640
sub-007,03,r,word_IFG,word,0.0,8640
sub-007,03,r,evc,face,1782.0,11873
sub-007,03,r,evc,house,691.0,11873
sub-007,03,r,evc,object,2.0,11873
sub-007,03,r,evc,word,17.0,11873
sub-007,04,r,face_FFA,face,1930.0,12554
sub-007,04,r,face_FFA,house,1121.0,12554
sub-007,04,r,face_FFA,object,4847.0,12554
sub-007,04,r,face_FFA,word,64.0,12554
sub-007,04,r,face_STS,face,4141.0,16681
sub-007,04,r,face_STS,house,90.0,16681
sub-007,04,r,face_STS,object,587.0,16681
sub-007,04,r,face_STS,word,13.0,16681
sub-007,04,r,house_PPA,face,1626.0,21386
sub-007,04,r,house_PPA,house,4264.0,21386
sub-007,04,r,house_PPA,object,3948.0,21386
sub-007,04,r,house_PPA,word,220.0,21386
sub-007,04,r,house_TOS,face,3666.0,51086
sub-007,04,r,house_TOS,house,4587.0,51086
sub-007,04,r,house_TOS,object,14003.0,51086
sub-007,04,r,house_TOS,word,163.0,51086
sub-007,04,r,object_pF,face,1014.0,6839
sub-007,04,r,object_pF,house,972.0,6839
sub-007,04,r,object_pF,object,3808.0,6839
sub-007,04,r,object_pF,word,63.0,6839
sub-007,04,r,object_LOC,face,3666.0,51086
sub-007,04,r,object_LOC,house,4587.0,51086
sub-007,04,r,object_LOC,object,14003.0,51086
sub-007,04,r,object_LOC,word,163.0,51086
sub-007,04,r,word_VWFA,face,1930.0,12554
sub-007,04,r,word_VWFA,house,1121.0,12554
sub-007,04,r,word_VWFA,object,4847.0,12554
sub-007,04,r,word_VWFA,word,64.0,12554
sub-007,04,r,word_STG,face,486.0,9607
sub-007,04,r,word_STG,house,110.0,9607
sub-007,04,r,word_STG,object,0.0,9607
sub-007,04,r,word_STG,word,0.0,9607
sub-007,04,r,word_pSTG_liu,face,427.0,7624
sub-007,04,r,word_pSTG_liu,house,78.0,7624
sub-007,04,r,word_pSTG_liu,object,0.0,7624
sub-007,04,r,word_pSTG_liu,word,0.0,7624
sub-007,04,r,word_IFG,face,24.0,8640
sub-007,04,r,word_IFG,house,18.0,8640
sub-007,04,r,word_IFG,object,240.0,8640
sub-007,04,r,word_IFG,word,22.0,8640
sub-007,04,r,evc,face,1177.0,11873
sub-007,04,r,evc,house,516.0,11873
sub-007,04,r,evc,object,1137.0,11873
sub-007,04,r,evc,word,0.0,11873
sub-008,01,l,face_FFA,face,2145.0,7809
sub-008,01,l,face_FFA,house,63.0,7809
sub-008,01,l,face_FFA,object,3199.0,7809
sub-008,01,l,face_FFA,word,9.0,7809
sub-008,01,l,face_STS,face,2507.0,8811
sub-008,01,l,face_STS,house,1146.0,8811
sub-008,01,l,face_STS,object,1332.0,8811
sub-008,01,l,face_STS,word,93.0,8811
sub-008,01,l,house_PPA,face,1492.0,12795
sub-008,01,l,house_PPA,house,3180.0,12795
