category,pair,ctrl_delta_M,ctrl_delta_SD,otc_delta_M,otc_delta_SD,otc_lresec,otc_rresec,p_otc_v_ctrl
word,house-object,0.4199043410503749,0.54849957116506,-0.4580999010069281,1.0517103497341682,-0.4030538721176982,-0.513145929896158,0.0742
word,house-word,0.24149952515103534,0.515588251196315,-0.6082654256095672,0.9584756993096197,-0.35924081057942786,-0.8572900406397066,0.0542
word,object-word,0.1452454939398901,0.5088929237079152,-0.4666835839156819,0.7767323461977679,-0.5693759501282318,-0.363991217703132,0.1065
word_STG,face-house,0.24840269100203236,0.36484218496456355,0.007700794801752897,0.9110538400552194,-0.3380516089243209,1.0449580059799743,0.5765
word_STG,face-object,0.12643750940544413,0.31761923941398046,0.014082801346319701,0.09668362314953716,0.022226401175948613,-0.010347998142567039,0.2943
word_STG,face-word,0.11815422494667037,0.3372332413239238,0.2394893560337482,0.19465231248211323,0.14965044110949366,0.5090061008065119,0.3746
word_STG,house-object,-0.06037245068073768,0.6546653692888785,-0.21216540005727264,0.4276350369518744,-0.3467593795200976,0.1916165383312024,0.586
word_STG,house-word,-0.028302546940077833,0.5835479967983673,-0.03246081462564293,0.7021778602645774,0.1586249026121895,-0.6057179663391402,0.9907
word_STG,object-word,0.2525660384122561,0.2294033761283832,-0.07752591749080856,0.6382320738053712,0.07824797757260733,-0.5448476026810563,0.2707
word_VWFA,face-house,0.3026404904285308,0.5739772941361209,-0.02368153084381014,0.2445447728973002,-0.26769116213850314,0.09832328480353636,0.1709
word_VWFA,face-object,0.36681074456985946,0.5391344764955196,-0.17398455867753784,0.7479149141386312,-0.053655381559406745,-0.2341491472366034,0.1736
word_VWFA,face-word,0.3878432349124563,0.6431105180412521,-0.2235163970044719,0.7704567387547201,0.23997831859481863,-0.4552637548041172,0.1584
word_VWFA,house-object,0.1829236647172469,0.7821163493104403,-0.38015513167920184,1.1071626483453751,-0.1141735352452895,-0.513145929896158,0.3546
word_VWFA,house-word,0.0186287430402657,0.4055120024805071,-0.5715534257477688,1.0853323175899814,-8.019596389308159e-05,-0.8572900406397066,0.356
word_VWFA,object-word,0.1945044465127387,0.5720657081871745,0.14204078674391904,1.1055869212059921,1.154104795638021,-0.363991217703132,0.9296
