stage,measure,comparison,comparison_name,role,paired,spec,roi,pair,model,factor,beta,chi2,df,p,q_fdr,cohen_d,diff,n_a,n_b,converged,age_cap,roi_set,drop_word,age_beta,age_p,surg_beta,surg_p,group_var,n_obs,warn,formula,higher_group
grid,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,rank  word>face>object=house,,,,,0.0465936372072862,,,0.3868613138686131,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,sign  LI toward lost side z>2.33,,,,,-0.0375094252493695,,,0.8784121587841216,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,"sign  LI toward lost side, thr-free",,,,,-0.0373923248937534,,,0.8480151984801519,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,binA  word+face | house+object,,,,,0.2156351401694642,,,0.0002999700029997,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,binB  word | face+house+object,,,,,0.2831490229904567,,,0.0013998600139986,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,binC  word+face+house | object,,,,,0.1389733455740674,,,0.0027997200279972,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,cont  |LI| z>1.96,,,,,0.5615182513248749,,,0.0022997700229977,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,cont  |LI| z>2.33,,,,,0.5139177352489387,,,0.0024997500249975,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,rank  word>face>object=house,,,,,0.0451176304779975,,,0.002999700029997,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,sign  LI toward lost side z>2.33,,,,,-0.3027509835117661,,,0.0901909809019098,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,"sign  LI toward lost side, thr-free",,,,,-0.213274075356447,,,0.1310868913108689,,,,36,36,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,binA  word+face | house+object,,,,,0.0607631327376149,,,0.6089391060893911,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
grid,geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,binB  word | face+house+object,,,,,-0.1109825895407121,,,0.3253674632536746,,,,36,12,,23.0,primary_strict,False,,,,,,,,,
