measure,parcel,hemi,dropped,p
distinctiveness,house_PPA,l,sub-075,0.048
distinctiveness,house_PPA,l,sub-076,0.0763
distinctiveness,house_PPA,l,sub-077,0.0968
distinctiveness,house_PPA,l,sub-078,0.0778
distinctiveness,house_PPA,l,sub-079,0.131
distinctiveness,house_PPA,l,sub-082,0.0801
distinctiveness,house_PPA,l,sub-089,0.045
distinctiveness,house_PPA,l,sub-090,0.0812
distinctiveness,house_PPA,l,sub-091,0.1156
distinctiveness,house_PPA,l,sub-092,0.0821
distinctiveness,house_PPA,l,sub-099,0.0835
distinctiveness,house_PPA,l,sub-108,0.0787
distinctiveness,house_PPA,r,sub-004,0.0803
distinctiveness,house_PPA,r,sub-005,0.0754
distinctiveness,house_PPA,r,sub-008,0.0772
distinctiveness,house_PPA,r,sub-010,0.1356
distinctiveness,house_PPA,r,sub-021,0.0666
distinctiveness,house_PPA,r,sub-039,0.0749
distinctiveness,house_PPA,r,sub-044,0.1232
distinctiveness,house_PPA,r,sub-066,0.0714
distinctiveness,house_PPA,r,sub-069,0.12
distinctiveness,house_PPA,r,sub-074,0.0768
distinctiveness,house_PPA,r,sub-075,0.0759
distinctiveness,house_PPA,r,sub-076,0.0953
distinctiveness,house_PPA,r,sub-077,0.0782
distinctiveness,house_PPA,r,sub-078,0.0455
distinctiveness,house_PPA,r,sub-079,0.0753
distinctiveness,house_PPA,r,sub-082,0.0711
distinctiveness,house_PPA,r,sub-089,0.0752
distinctiveness,house_PPA,r,sub-090,0.0682
distinctiveness,house_PPA,r,sub-091,0.0785
distinctiveness,house_PPA,r,sub-092,0.0563
distinctiveness,house_PPA,r,sub-099,0.0906
distinctiveness,house_PPA,r,sub-108,0.1624
distinctiveness,object_LOC,l,sub-004,0.652
distinctiveness,object_LOC,l,sub-005,0.4856
distinctiveness,object_LOC,l,sub-008,0.7613
distinctiveness,object_LOC,l,sub-010,0.7023
distinctiveness,object_LOC,l,sub-021,0.7003
distinctiveness,object_LOC,l,sub-039,0.5028
distinctiveness,object_LOC,l,sub-044,0.7039
distinctiveness,object_LOC,l,sub-066,0.7013
distinctiveness,object_LOC,l,sub-069,0.706
distinctiveness,object_LOC,l,sub-074,0.6973
distinctiveness,object_LOC,l,sub-075,0.9331
distinctiveness,object_LOC,l,sub-076,0.6986
distinctiveness,object_LOC,l,sub-077,0.922
distinctiveness,object_LOC,l,sub-078,0.7076
distinctiveness,object_LOC,l,sub-079,0.5103
distinctiveness,object_LOC,l,sub-082,0.6932
distinctiveness,object_LOC,l,sub-089,0.4774
distinctiveness,object_LOC,l,sub-090,0.7098
distinctiveness,object_LOC,l,sub-091,0.7324
distinctiveness,object_LOC,l,sub-092,0.7113
distinctiveness,object_LOC,l,sub-099,0.706
distinctiveness,object_LOC,l,sub-108,0.6997
distinctiveness,object_LOC,r,sub-004,0.7033
distinctiveness,object_LOC,r,sub-005,0.6861
distinctiveness,object_LOC,r,sub-008,0.6969
distinctiveness,object_LOC,r,sub-010,0.9754
distinctiveness,object_LOC,r,sub-021,0.7446
distinctiveness,object_LOC,r,sub-039,0.7006
distinctiveness,object_LOC,r,sub-044,0.9291
distinctiveness,object_LOC,r,sub-066,0.6242
distinctiveness,object_LOC,r,sub-069,0.5029
distinctiveness,object_LOC,r,sub-074,0.6959
distinctiveness,object_LOC,r,sub-075,0.6932
distinctiveness,object_LOC,r,sub-076,0.4441
distinctiveness,object_LOC,r,sub-077,0.6926
distinctiveness,object_LOC,r,sub-078,0.9244
distinctiveness,object_LOC,r,sub-079,0.6952
distinctiveness,object_LOC,r,sub-082,0.6043
distinctiveness,object_LOC,r,sub-089,0.6955
distinctiveness,object_LOC,r,sub-090,0.7756
distinctiveness,object_LOC,r,sub-091,0.6928
distinctiveness,object_LOC,r,sub-092,0.8021
distinctiveness,object_LOC,r,sub-099,0.6065
distinctiveness,object_LOC,r,sub-108,0.6515
distinctiveness,word_VWFA,l,sub-004,0.428
distinctiveness,word_VWFA,l,sub-005,0.5584
distinctiveness,word_VWFA,l,sub-008,0.5934
distinctiveness,word_VWFA,l,sub-010,0.4005
distinctiveness,word_VWFA,l,sub-021,0.3992
distinctiveness,word_VWFA,l,sub-039,0.2248
distinctiveness,word_VWFA,l,sub-044,0.3977
distinctiveness,word_VWFA,l,sub-066,0.3926
distinctiveness,word_VWFA,l,sub-069,0.4059
distinctiveness,word_VWFA,l,sub-074,0.2205
distinctiveness,word_VWFA,l,sub-075,0.8029
distinctiveness,word_VWFA,l,sub-076,0.402
distinctiveness,word_VWFA,l,sub-077,0.3352
distinctiveness,word_VWFA,l,sub-078,0.389
distinctiveness,word_VWFA,l,sub-079,0.3224
distinctiveness,word_VWFA,l,sub-082,0.3892
distinctiveness,word_VWFA,l,sub-089,0.4619
distinctiveness,word_VWFA,l,sub-090,0.3969
distinctiveness,word_VWFA,l,sub-091,0.4188
distinctiveness,word_VWFA,l,sub-092,0.3997
distinctiveness,word_VWFA,l,sub-099,0.392
distinctiveness,word_VWFA,l,sub-108,0.3912
distinctiveness,word_VWFA,r,sub-004,0.0098
distinctiveness,word_VWFA,r,sub-005,0.0095
distinctiveness,word_VWFA,r,sub-008,0.0085
distinctiveness,word_VWFA,r,sub-010,0.0137
distinctiveness,word_VWFA,r,sub-021,0.0237
distinctiveness,word_VWFA,r,sub-039,0.0079
distinctiveness,word_VWFA,r,sub-044,0.0139
distinctiveness,word_VWFA,r,sub-066,0.0196
distinctiveness,word_VWFA,r,sub-069,0.0052
distinctiveness,word_VWFA,r,sub-074,0.0092
distinctiveness,word_VWFA,r,sub-075,0.0085
distinctiveness,word_VWFA,r,sub-076,0.0202
distinctiveness,word_VWFA,r,sub-077,0.0097
distinctiveness,word_VWFA,r,sub-078,0.0085
distinctiveness,word_VWFA,r,sub-079,0.0072
distinctiveness,word_VWFA,r,sub-082,0.0041
distinctiveness,word_VWFA,r,sub-089,0.0098
distinctiveness,word_VWFA,r,sub-090,0.0194
distinctiveness,word_VWFA,r,sub-091,0.008
distinctiveness,word_VWFA,r,sub-092,0.0117
distinctiveness,word_VWFA,r,sub-099,0.0037
distinctiveness,word_VWFA,r,sub-108,0.0063
