measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,face-house,0.2589853207971011,0.6389807732516882,0.06379362063793621,0.3827617238276173,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,face-object,-0.02130034801123004,-0.04821093831916375,0.8854114588541145,0.8854114588541145,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,face-word,0.1354266435115805,0.3330924996283273,0.3220677932206779,0.7824717528247176,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,house-object,0.026988187867556634,0.06673930057725455,0.8439156084391561,0.8854114588541145,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,house-word,0.10671950683966147,0.2847234215406809,0.39486051394860516,0.7824717528247176,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,object-word,0.10095583809162112,0.2158880270011849,0.5216478352164784,0.7824717528247176,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,OMNIBUS (6 pairs),0.09224814746741185,,0.5258474152584741,,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,face-house,-0.007992746838008751,-0.018600289971228777,0.9579042095790421,0.9933006699330068,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,face-object,0.11888867014148369,0.30828406879363474,0.35636436356364365,0.7127287271272872,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,face-word,0.2170814640448785,0.47022209139126026,0.16948305169483052,0.7127287271272872,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,house-object,-0.0013198918561545536,-0.0028615306691013136,0.9933006699330067,0.9933006699330068,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,house-word,-0.1707443112302536,-0.3892344258358656,0.2502749725027497,0.7127287271272872,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,house_PPA_strict,object-word,0.04207164857135176,0.12032918161205382,0.7195280471952805,0.9933006699330068,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,OMNIBUS (6 pairs),0.24602379217221998,,0.0887911208879112,,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,face-house,0.12884414336785077,0.31308710371587284,0.34696530346965304,0.46171382861713833,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,face-object,0.22996492766855486,0.6782804591245516,0.0451954804519548,0.1355864413558644,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,face-word,0.34047586796391,1.0026682108823313,0.0038996100389961006,0.023397660233976603,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,house-object,0.20655922670478943,0.4094281299917078,0.22297770222977703,0.4459554044595541,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,house-word,-0.13228833756932157,-0.2898496165687959,0.38476152384761525,0.46171382861713833,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,face_FFA,object-word,0.0211748878369582,0.053463444046670604,0.8753124687531247,0.8753124687531247,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,OMNIBUS (6 pairs),0.1836537746594664,,0.3010698930106989,,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,face-house,0.14575754541147062,0.3041565053012632,0.36296370362963704,0.5444455554444556,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,face-object,0.16363774467481207,0.3812195068435069,0.2605739426057394,0.5211478852114788,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,face-word,0.04373434766724038,0.10798933459535232,0.7495250474952505,0.7495250474952505,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,house-object,0.2614382695209695,0.47661636636154586,0.15708429157084292,0.5211478852114788,B,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,house-word,-0.09672308822586839,-0.18585859505088584,0.577042295770423,0.6924507549245076,A,36,12,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,word_VWFA,object-word,0.23667104470315592,0.45011821149685827,0.1850814918508149,0.5211478852114788,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,object_LOC,OMNIBUS (6 pairs),0.1966832136235061,,0.23937606239376064,,B,36,12,23.0,primary_strict
