
===== p_perm: 161 changed =====
           measure                           model        level         comparison hemi  p_perm_old  p_perm_new
          geometry            object_LOC_ctrl_LvsR  object-word  control_asymmetry  NaN    0.741126    0.730427
          geometry  word_VWFA_LH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry  word_VWFA_LH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.386761    0.464554
          geometry  word_VWFA_LH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.486151    0.517748
          geometry  word_VWFA_LH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.916108    0.621438
          geometry  word_VWFA_LH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.333767    0.531147
          geometry  word_VWFA_LH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.907709    0.986701
          geometry  word_VWFA_LH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.364464    0.373463
          geometry  word_VWFA_RH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry  word_VWFA_RH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.186981    0.167583
          geometry  word_VWFA_RH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.489051    0.469053
          geometry  word_VWFA_RH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.785521    0.783622
          geometry  word_VWFA_RH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.339066    0.263574
          geometry  word_VWFA_RH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.004800    0.001600
          geometry  word_VWFA_RH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.041396    0.016198
          geometry             word_VWFA_ctrl_LvsR          ALL            omnibus  NaN         NaN         NaN
          geometry             word_VWFA_ctrl_LvsR   face-house  control_asymmetry  NaN    0.589241    0.590641
          geometry             word_VWFA_ctrl_LvsR  face-object  control_asymmetry  NaN    0.272073    0.270573
          geometry             word_VWFA_ctrl_LvsR    face-word  control_asymmetry  NaN    0.071693    0.071393
          geometry             word_VWFA_ctrl_LvsR house-object  control_asymmetry  NaN    0.370063    0.359664
          geometry             word_VWFA_ctrl_LvsR  object-word  control_asymmetry  NaN    0.007199    0.011299
--- p_perm CROSSED .05 (3): ---
 measure                           model      level         comparison hemi  p_perm_old  p_perm_new
     wta                M1_LH_ctrl_vs_pt     object patient_vs_control  NaN    0.036496    0.073093
geometry   face_FFA_LH-intact_pt_vs_ctrl  face-word patient_vs_control  NaN    0.066993    0.017698
geometry object_LOC_RH-intact_pt_vs_ctrl face-house patient_vs_control  NaN    0.069593    0.019398
