measure,comparison,comparison_name,spec,beta,p,n_group_a,n_group_b,role,paired,age_cap,roi_set,drop_word
geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],binC  word+face+house | object,0.07910555424062371,0.30716928307169283,36,12,supplemental,False,23.0,primary_strict,False
geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>1.96,0.023669802768398696,0.9646035396460354,36,12,supplemental,False,23.0,primary_strict,False
geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],cont  |LI| z>2.33,-0.007225448000788906,0.9886011398860114,36,12,supplemental,False,23.0,primary_strict,False
geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],rank  word>face>object=house,0.00825821906319038,0.8839116088391161,36,12,supplemental,False,23.0,primary_strict,False
geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],sign  LI toward lost side z>2.33,-0.22921548247810544,0.28757124287571245,36,12,supplemental,False,23.0,primary_strict,False
geometry,5,A = LH ctrl        B = RH-intact pt  [crossed],"sign  LI toward lost side, thr-free",-0.18672438584479745,0.2683731626837316,36,12,supplemental,False,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],binA  word+face | house+object,0.13451902392712542,0.0216978302169783,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],binB  word | face+house+object,0.34013499522027957,0.0006999300069993001,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],binC  word+face+house | object,0.07736324378825382,0.08399160083991601,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>1.96,0.3618716141377003,0.0385961403859614,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],cont  |LI| z>2.33,0.336417299849298,0.0377962203779622,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],rank  word>face>object=house,0.028108998303768784,0.050294970502949704,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],sign  LI toward lost side z>2.33,-0.828463340150081,9.999000099990002e-05,36,36,supplemental,True,23.0,primary_strict,False
geometry,6,A = LH ctrl        B = RH ctrl       [paired],"sign  LI toward lost side, thr-free",-0.6522516472832846,9.999000099990002e-05,36,36,supplemental,True,23.0,primary_strict,False
