subject_id,group,partition,category,threshold,li
sub-005,OTC,whole,face,2.0,-0.013809883540600951
sub-005,OTC,whole,face,2.25,-0.018799965233309634
sub-005,OTC,whole,face,2.5,-0.02483498151055477
sub-005,OTC,whole,face,2.75,-0.012650198904957277
sub-005,OTC,whole,face,3.0,-0.0013046836326889922
sub-005,OTC,whole,face,3.25,0.00304262968011328
sub-005,OTC,whole,face,3.5,0.01156103558327329
sub-005,OTC,whole,face,3.75,0.03377732603248818
sub-005,OTC,whole,face,4.0,0.035336638537100194
sub-005,OTC,whole,face,4.25,0.03615952746416413
sub-005,OTC,whole,face,4.5,0.03516687649925959
sub-005,OTC,whole,face,4.75,0.056178462746824184
sub-005,OTC,whole,face,5.0,0.0607746013333343
sub-005,OTC,lateral,face,0.25,-0.014448638065266533
sub-005,OTC,lateral,face,0.5,0.0028051516818075072
sub-005,OTC,lateral,face,0.75,0.03397555499859636
sub-005,OTC,lateral,face,1.0,0.025621363674189265
sub-005,OTC,lateral,face,1.25,0.02588213796241439
sub-005,OTC,lateral,face,1.5,0.003835415888177274
sub-005,OTC,lateral,face,1.75,-0.008095108304424862
sub-005,OTC,lateral,face,2.0,-0.024580429158789708
sub-005,OTC,lateral,face,2.25,-0.038956580368965744
sub-005,OTC,lateral,face,2.5,-0.04906924796966755
sub-005,OTC,lateral,face,2.75,-0.05490918303208428
sub-005,OTC,lateral,face,3.0,-0.059885010184079414
sub-005,OTC,lateral,face,3.25,-0.08181055578202263
sub-005,OTC,lateral,face,3.5,-0.06316034218133613
sub-005,OTC,lateral,face,3.75,-0.09946506324501934
sub-005,OTC,lateral,face,4.0,-0.10393552294689767
sub-005,OTC,lateral,face,4.25,-0.13352733035144812
sub-005,OTC,lateral,face,4.5,-0.15553021271096687
sub-005,OTC,lateral,face,4.75,-0.18347410265185832
sub-005,OTC,lateral,face,5.0,-0.16650554531170098
sub-005,OTC,medial,face,0.25,0.007622156258179355
sub-005,OTC,medial,face,0.5,0.00016028514788239814
sub-005,OTC,medial,face,0.75,-0.0005449451513036823
sub-005,OTC,medial,face,1.0,-0.008079964588684995
sub-005,OTC,medial,face,1.25,-0.0052604939477794875
sub-005,OTC,medial,face,1.5,-0.0025529380349194344
sub-005,OTC,medial,face,1.75,-0.01318879981913481
sub-005,OTC,medial,face,2.0,0.010885518764437097
sub-005,OTC,medial,face,2.25,-0.00036694822869798196
sub-005,OTC,medial,face,2.5,0.021868679244601376
sub-005,OTC,medial,face,2.75,0.04819405392622
sub-005,OTC,medial,face,3.0,0.09573190388207115
sub-005,OTC,medial,face,3.25,0.1483888204109998
sub-005,OTC,medial,face,3.5,0.20342633090801157
sub-005,OTC,medial,face,3.75,0.24018017607663888
sub-005,OTC,medial,face,4.0,0.2797537443355834
sub-005,OTC,medial,face,4.25,0.31899055722804154
sub-005,OTC,medial,face,4.5,0.3763307668686344
sub-005,OTC,medial,face,4.75,0.42397017641338586
sub-005,OTC,medial,face,5.0,0.43758996543859185
sub-005,OTC,whole,house,0.25,-0.22627460380749714
sub-005,OTC,whole,house,0.5,-0.22977916682931857
sub-005,OTC,whole,house,0.75,-0.22360465957792341
sub-005,OTC,whole,house,1.0,-0.21179439794697139
sub-005,OTC,whole,house,1.25,-0.20706518375683217
sub-005,OTC,whole,house,1.5,-0.1981149736116484
sub-005,OTC,whole,house,1.75,-0.17282752135474044
sub-005,OTC,whole,house,2.0,-0.14835927488425762
sub-005,OTC,whole,house,2.25,-0.12131472497014478
sub-005,OTC,whole,house,2.5,-0.09375434115890241
sub-005,OTC,whole,house,2.75,-0.045843672182387524
sub-005,OTC,whole,house,3.0,-0.01766418536735013
sub-005,OTC,whole,house,3.25,-0.0034055984818191732
sub-005,OTC,whole,house,3.5,0.010168358233002908
sub-005,OTC,whole,house,3.75,0.027741024531882735
sub-005,OTC,whole,house,4.0,0.032531079191177745
sub-005,OTC,whole,house,4.25,0.04578555988921902
sub-005,OTC,whole,house,4.5,0.06280740158633064
sub-005,OTC,whole,house,4.75,0.06608981277331258
sub-005,OTC,whole,house,5.0,0.04573268554577286
sub-005,OTC,lateral,house,0.25,-0.34250010682545456
sub-005,OTC,lateral,house,0.5,-0.3454519835109845
sub-005,OTC,lateral,house,0.75,-0.3254938414430219
sub-005,OTC,lateral,house,1.0,-0.303902850452317
sub-005,OTC,lateral,house,1.25,-0.2955077788573598
sub-005,OTC,lateral,house,1.5,-0.2895183086943202
sub-005,OTC,lateral,house,1.75,-0.26467161019212254
sub-005,OTC,lateral,house,2.0,-0.24817035550196512
sub-005,OTC,lateral,house,2.25,-0.22169084093671285
sub-005,OTC,lateral,house,2.5,-0.19493632466797733
sub-005,OTC,lateral,house,2.75,-0.15166085192492543
sub-005,OTC,lateral,house,3.0,-0.14476716647297097
sub-005,OTC,lateral,house,3.25,-0.09620441527003164
sub-005,OTC,lateral,house,3.5,-0.07447471901064516
sub-005,OTC,lateral,house,3.75,-0.04103655050707408
sub-005,OTC,lateral,house,4.0,-0.057520056253553935
sub-005,OTC,lateral,house,4.25,-0.00884447302210569
sub-005,OTC,lateral,house,4.5,-0.005317653857104188
sub-005,OTC,lateral,house,4.75,0.03964594568698461
sub-005,OTC,lateral,house,5.0,0.04352548693097999
sub-005,OTC,medial,house,0.25,-0.14865712784237486
sub-005,OTC,medial,house,0.5,-0.14860829746339885
sub-005,OTC,medial,house,0.75,-0.15830864638105893
sub-005,OTC,medial,house,1.0,-0.14808936707696013
sub-005,OTC,medial,house,1.25,-0.1392731306403478
sub-005,OTC,medial,house,1.5,-0.12655558749385767
